fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
1762,GALERIA DE ARTE,,GALERIA ALBERTO SENDROS,,,,,TRES SARGENTOS,359,RETIRO,COMUNA 1,"TRES SARGENTOS 359, CABA",-58.372424,-34.597787,4312 0995/5915,info@albertosendros.com,WWW.ALBERTOSENDROS.COM,,https://www.facebook.com/Galer%C3%ADa-Alberto-Sendr%C3%B3s-198314900269570/,,,,,,,,,0,
1763,GALERIA DE ARTE,,GALERIA ARROYO,,,,,ARROYO,830,RETIRO,COMUNA 1,"ARROYO 830, CABA",-58.378894,-34.592201,4325-0947,INFO@GALARROYO.COM,WWW.GALARROYO.COM,,https://www.facebook.com/ArroyoRemates,@ArroyoRemates,https://www.instagram.com/arroyoremates/?hl=es-la,,,,,,,0,
1764,GALERIA DE ARTE,,GALERIA ARTEXARTE,,,,,LAVALLEJA,1062,VILLA CRESPO,COMUNA 15,"LAVALLEJA 1062, CABA",-58.428434,-34.597009,4773-2738 / 4772-6754,INFO@ARTEXARTE.COM.AR,http://web.artexarte.com.ar/,,https://www.facebook.com/artexarteespacio/,,,,,,,,,0,
1765,GALERIA DE ARTE,,GALERIA AZUR,,,,,CALLAO AV.,1701,RECOLETA,COMUNA 2,"CALLAO AV. 1701, CABA",-58.389782,-34.589975,4815-5599,MENSAJES@GALERIAAZUR.COM,WWW.GALERIAAZUR.COM,,https://www.facebook.com/azurgaleria/,,@GALERIAAZUR,,,,,,,0,
1766,GALERIA DE ARTE,,GALERIA BRAQUE,,,,,CHACABUCO,131,MONSERRAT,COMUNA 1,"CHACABUCO 131, CABA",-58.376363,-34.609545,3999-4596  / 4334-5073,INFO@ARTEBRAQUE.COM.AR,WWW.ARTEBRAQUE.COM.AR,,https://www.facebook.com/braque.galeriadearte.3/,,,,,,,,,0,
1767,GALERIA DE ARTE,,GALERIA BUENOS AIRES SUR,,,,,BOLIVAR,1268,SAN TELMO,COMUNA 1,"BOLIVAR 1268, CABA",-58.372719,-34.622787,,,,,,,,,,,,,,0,
1768,GALERIA DE ARTE,,GALERIA CECILIA CABALLERO,,,,,MONTEVIDEO,1720,RECOLETA,COMUNA 2,"MONTEVIDEO 1720, CABA",-58.386667,-34.590452,4811 8648,galeriaceciliacaballero@gmail.com,http://www.galeriaceciliacaballero.com/,,,,@galeriaceciliacaballero,MERIDIANO,,,,,,0,
1769,GALERIA DE ARTE,,GALERIA COSMOCASA,,,,,MONTEVIDEO,1430,RECOLETA,COMUNA 2,"MONTEVIDEO 1430, CABA",-58.389772,-34.592971,48116808,info@cosmocosa.com,http://www.cosmocosa.com/,,,,@cosmocosa,MERIDIANO,,,,,,0,
1770,GALERIA DE ARTE,,GALERIA DABBAH TORREJON,,,,,EL SALVADOR,5176,PALERMO,COMUNA 14,"EL SALVADOR 5176, CABA",-58.431662,-34.586369,4832-2332,info@dabbahtorrejon.com.ar,http://www.dabbahtorrejon.com.ar/,,,,,,,,,,,0,
1771,GALERIA DE ARTE,,GALERIA DANIEL MAMAN FINE ARTS,,,,,DEL LIBERTADOR AV.,2475,PALERMO,COMUNA 14,"DEL LIBERTADOR AV. 2475, CABA",-58.406025,-34.579161,4804-3700 / 3800,galeria@mamanfineart.com.ar,http://mamanfineart.com/,,,,https://www.instagram.com/mamanfineartgallery/,MERIDIANO,,,,,,0,
1772,GALERIA DE ARTE,,GALERIA DE ARTE KARINA PARADISO,,,,,DEL LIBERTADOR AV.,4700,PALERMO,COMUNA 14,"DEL LIBERTADOR AV. 4700, CABA",-58.433291,-34.565783,4776-3109,,WWW.KARINAPARADISO.COM.AR,,,,,,,,,,,0,
1773,GALERIA DE ARTE,,GALERIA DE ARTE LEONARDO DA VINCI,,,,,LIBERTAD,1222,RETIRO,COMUNA 1,"LIBERTAD 1222, CABA",-58.384481,-34.594074,4812-7033,INFO@DAVINCIRESIDENCE.COM.AR,,,,,,,,,,,,0,
1774,GALERIA DE ARTE,,GALERIA DE ARTE MEDITERRANEA,ESPACIO DE FORMACION,,,,PACHECO,2380,VILLA URQUIZA,COMUNA 12,"PACHECO 2380, CABA",-58.484127,-34.573297,4522-6527 / 4524-0551,info@galeriamediterranea.com.ar,WWW.GALERIAMEDITERRANEO.COM.AR,,https://www.facebook.com/galeriamediterranea/,,@galeriamediterranea,,,,,,,0,
1775,GALERIA DE ARTE,,GALERIA DE ARTE MERCEDES GIACHETTI,,,,,DEFENSA,718,SAN TELMO,COMUNA 1,"DEFENSA 718, CABA",-58.371674,-34.616235,4361-6307,mercdesgiachetti@yahoo.com.ar,WWW.GALERIASMGIACHETTI.COM.AR,,https://www.facebook.com/galeriadeartemercedesgiachetti/,,@galeria_mercedes_giachetti,,,,,,,0,
1776,GALERIA DE ARTE,,GALERIA DE ARTE SYLVIA VESCO,,,,,CHACABUCO,866,SAN TELMO,COMUNA 1,"CHACABUCO 866, CABA",-58.375845,-34.618129,4300 6892 // 15 4086 1647,sylviavesco@gmail.com,WWW.SYLVIAVESCOARTE.COM.AR,,https://www.facebook.com/VescoGorriarena/?__tn__=K-R&eid=ARD6CAnR3jfX52_of007atA5x6nTwQ5Vwm6_TEly3FTym8Y2d6rjUOQX_wCVAFGRfqMyH3F0xZ2kkDmp&fref=mentions&__xts__[0]=68.ARCiUIRo3AFTgK0puqPuLCwrKz-vWjoZLikGw9AxpYeSEYAK3v3gpq8hx_J3HhO7AlNUBsNaPgiZMt7v8jFMJRnpWTDF20wOOguEtCmDk4LVzehpAACqJjF4pp0dKaXGe_tEdS4KwSsZZicUDvn25Cr2Fs-MstPY0O5ghVZmY1DihWNGfPJ_X6hzyf1X9Dsp8um0CStVoL0yPqnOdKqvx4RpXBrAQUrr6BXPoVrbHj-VQ0bM4J307097V025LqCQ3rn-tdhYUQfHEX-wXoV-hcBpVf3gsjqNoSBf0P6wY_Ujcrnx9B0_4y5k_YHe1sO0L5lU-4pzKzx9SJ_Aj168zuSKOw,,@VESCOGORRIARENA,,,,,,,0,
1777,GALERIA DE ARTE,,GALERIA DEL INFINITO ARTE,,,,,QUINTANA. MANUEL. PRES.,325,RECOLETA,COMUNA 2,"QUINTANA, MANUEL, PRES. 325, CABA",-58.388101,-34.589785,4813-8828,galeria@delinfinito.com,http://www.delinfinito.com/galeria/,,,,,MERIDIANO,,,,,,0,
1778,GALERIA DE ARTE,,GALERIA ELSI DEL RIO,,,,,HUMBOLDT,1510,PALERMO,COMUNA 14,"HUMBOLDT 1510, CABA",-58.437061,-34.586252,4899-0171,info@elsidelrio.com.ar,WWW.ELSIDELRIO.COM.AR,,https://www.facebook.com/pages/ELSI-DEL-RIO-Arte-Contempor%C3%A1neo/130793670350111,@galeriaelsi,@galeriaelsi,,,,,,,0,
1779,GALERIA DE ARTE,,GALERIA FOSTER CATENA,,,,,HONDURAS,4882,PALERMO,COMUNA 14,"HONDURAS 4882, CABA",-58.429075,-34.589514,4833-9499,guadalupe@fostercatena.com,HTTP://WWW.FOSTERCATENA.COM/GALERIA/,,https://www.facebook.com/Galer%C3%ADa-Foster-Catena-132778303454638/,,,,,,,,,0,
1780,GALERIA DE ARTE,,GALERIA GRAFICA GESTUAL,,,,,ARCE,730,PALERMO,COMUNA 14,"ARCE 730, CABA",-58.434892,-34.568621,1550434803,GALERIAGRAFICAGESTUAL@GMAIL.COM,http://galeriagraficagestual.blogspot.com/,,https://www.facebook.com/GaleriaGraficaGestual/,,,,,,,,,0,
1781,GALERIA DE ARTE,,GALERIA HACHE,,,,,LOYOLA,32,VILLA CRESPO,COMUNA 15,"LOYOLA 32, CABA",-58.43141,-34.600435,4856 8787,info@hachegaleria.com,http://www.hachegaleria.com/,,,,@hachegaleria,MERIDIANO,,,,,,0,
1782,GALERIA DE ARTE,,GALERIA ISABEL ANCHORENA,,,,,LIBERTAD,1389,RETIRO,COMUNA 1,"LIBERTAD 1389, CABA",-58.384311,-34.591728,,ISABELANCHORENA@SION.COM,WWW.GALERIAISABELANCHORENA.SION.COM,,https://www.facebook.com/galeriaisabelanchorena/,@GaleriaIsabelA,@GaleriaIsabelA,,,,,,,0,
1783,GALERIA DE ARTE,,GALERIA ISIDRO MIRANDA,,,,,ESTADOS UNIDOS,726,SAN TELMO,COMUNA 1,"ESTADOS UNIDOS 726, CABA",-58.376277,-34.618584,4361-4034,,WWW.ISIDROMIRANDA/GALERIA.PHP,,,,,,,,,,,0,
1784,GALERIA DE ARTE,,GALERIA JACQUES MARTINEZ,,,,,DE MAYO AV.,1128,MONSERRAT,COMUNA 1,"DE MAYO AV. 1128, CABA",-58.38245,-34.6092,4381-7458,info@galeriajacquesmartinez.com,WWW.GALERIAJACQUESMARTINEZ.COM,,https://www.facebook.com/galeriajacquesmartinez,@GaleriaJacquesM,@GaleriaJacquesM,,,,,,,0,
1785,GALERIA DE ARTE,,GALERIA JORGE MARA LA RUCHE,,,,,PARANA,1133,RECOLETA,COMUNA 2,"PARANA 1133, CABA",-58.388413,-34.595523,4813-0552,jorgemaralaruche@gmail.com,WWW.JORGEMARALARUCHE.COM.AR,,,,@jorgemaralaruche,MERIDIANO,,,,,,0,
1786,GALERIA DE ARTE,,GALERIA LAGARD,,,,,SUIPACHA,1216,RETIRO,COMUNA 1,"SUIPACHA 1216, CABA",-58.380102,-34.59379,4393-7822,,WWW.GALERIALAGARD.COM.AR,,,,,,,,,,,0,
1787,GALERIA DE ARTE,,GALERIA LAURA HABER,,,,,O'HIGGINS,1361,PALERMO,COMUNA 14,"O'HIGGINS 1361, CABA",-58.446964,-34.566752,4784-2426 / 4786-5814,LAURAHABER@FIBERTEL.COM.AR,WWW.LAURAHABER.COM.AR,,https://www.facebook.com/pages/Laura-Haber/353056028662400,,@galeria.laurahaber,,,,,,,0,
1788,GALERIA DE ARTE,,GALERIA MAGNA ARTE ARGENTINO,,,,,LIBERTAD,1030,RETIRO,COMUNA 1,"LIBERTAD 1030, CABA",-58.38426,-34.596536,48152792,INFO@GALERIAMAGMA.COM,http://www.galeriamagna.com/,,https://www.facebook.com/GaleriaMagna,,,,,,,,,0,
1789,GALERIA DE ARTE,,GALERIA MAR DULCE,,,,,URIARTE,1490,PALERMO,COMUNA 14,"URIARTE 1490, CABA",-58.433331,-34.588222,15-5319-3597,GALERIAMARDULCE@GMAIL.COM,WWW.GALERIAMARDULCE.BLOGSPOT.COM,,https://www.facebook.com/mardulcegallery/,,@galeriamardulce,,,,,,,0,
1790,GALERIA DE ARTE,,GALERIA MITE,,,,,AV. SANTA FE,2792,RECOLETA,COMUNA 2,"SANTA FE AV. 2792, CABA",-58.406046,-34.59272,48229433,info@mitegaleria.com.ar,http://mitegaleria.com.ar/,,https://www.facebook.com/mitegaleria,@mitegaleria,https://instagram.com/mitegaleria,MERIDIANO,,,,,,0,
1791,GALERIA DE ARTE,,GALERIA NORA FISCH,,,,,CORDOBA AV.,5222,VILLA CRESPO,COMUNA 15,"CORDOBA AV. 5222, CABA",-58.436626,-34.590059,6235-2030,info@norafisch.com,http://nuevo.norafisch.com/,,https://www.facebook.com/GaleriaNoraFisch?ref=br_rs&pnref=lhc,@NORA_FISCH,https://www.instagram.com/galerianorafisch/,MERIDIANO,,,,,,0,
1792,GALERIA DE ARTE,,GALERIA OTTO,,,,,PARANA,1158,RECOLETA,COMUNA 2,"PARANA 1158, CABA",-58.388544,-34.595193,4811-1218,otto@ottogaleria.com,http://www.ottogaleria.com/,,,,@otto_galeria,MERIDIANO,,,,,,0,
1793,GALERIA DE ARTE,,GALERIA PABELLON 4,,,,,URIARTE,1332,PALERMO,COMUNA 14,"URIARTE 1332, CABA",-58.434888,-34.589252,4772-8745,,WWW.PABELLON4.COM,,,,,,,,,,,0,
1794,GALERIA DE ARTE,,GALERIA PATIO DEL LICEO,,,,,AV. SANTA FE,2729,RECOLETA,COMUNA 2,"SANTA FE AV. 2729, CABA",-58.405367,-34.593044,4822-9433,CONTACTO@GALERIAPATIODELICEO.COM,,,https://www.facebook.com/Galeria-Patio-del-Liceo-208515089189784/,,www.instagram.com/galeriapatiodelliceo/,,,,,,,0,
1795,GALERIA DE ARTE,,GALERIA PRAXIS,,,,,ARENALES,1311,RETIRO,COMUNA 1,"ARENALES 1311, CABA",-58.38604,-34.594537,4812 6254,praxis7@praxis-art.com,WWW.PRAXIS-ART.COM,,https://www.facebook.com/PraxisBA/,@praxis_art,https://www.instagram.com/praxisart/,,,,,,,0,
1796,GALERIA DE ARTE,,GALERIA RICARDO LOPEZ,,,,,ARENALES,966,RETIRO,COMUNA 1,"ARENALES 966, CABA",-58.380863,-34.594174,4394-6000,RICARDOLOPEZ@YAHOO.COM.AR,http://www.ricardolopezgaleria.com.ar/,,https://www.facebook.com/GaleriaRicardoLopez/,@LopezGaleria,,,,,,,,0,
1797,GALERIA DE ARTE,,GALERIA ROLDAN MODERNO,,,,SUBASTAS,JUNCAL,743,RETIRO,COMUNA 1,"JUNCAL 743, CABA",-58.37772,-34.592786,4394 0830 / 3666,galeria@roldan.cc,https://roldan.cc/es/moderno,,,,@roldanmoderno,MERIDIANO,,,,,,0,
1798,GALERIA DE ARTE,,GALERIA ROLF ART,,,,,ESMERALDA,1353,RETIRO,COMUNA 1,"ESMERALDA 1353, CABA",-58.378391,-34.59211,4326-3679,info@rolfart.com.ar,http://rolfart.com.ar/,,https://www.facebook.com/ROLF.ART.productora/,@ROLF_ART,https://www.instagram.com/rolf_art/?hl=es-la,MERIDIANO,,,,,,0,
1799,GALERIA DE ARTE,,GALERIA RUBBERS INTERNACIONAL,,,,,ALVEAR,1640,RECOLETA,COMUNA 2,"ALVEAR 1640, CABA",-58.386324,-34.589596,4816-1864 / 1869,MARIABASILE@RUBBERS.COM.AR,WWW.RUBBERS.COM.AR,,https://www.facebook.com/Galer%C3%ADa-Rubbers-Internacional-183390871735580/,@GaleriaRubbers,https://www.instagram.com/galeria_rubbers/,MERIDIANO,,,,,,0,
1800,GALERIA DE ARTE,,GALERIA RUTH BENZACAR,,,,,"RAMIREZ DE VELASCO, JUAN",1287,VILLA CRESPO,COMUNA 15,"RAMIREZ DE VELASCO, JUAN 1287, CABA",-58.443123,-34.591446,4313-8480,mora@ruthbenzacar.com,WWW.RUTHBENZACAR.COM,,https://www.facebook.com/ruthbenzacar/?ref=hl,,https://www.instagram.com/ruthbenzacar/,MERIDIANO,,,,,,0,
1801,GALERIA DE ARTE,,GALERIA SARA GARCIA URIBURU,,,,,URUGUAY,1223,RETIRO,COMUNA 1,"URUGUAY 1223, CABA",-58.387323,-34.59418,4813-0148,saragarciauriburu@fibertel.com.ar,WWW.SARAGARCIAURIBURU.COM,,https://www.facebook.com/Galer%C3%ADa-Sara-Garc%C3%ADa-Uriburu-614664751969598/,,,,,,,,,0,
1802,GALERIA DE ARTE,,GALERIA UNION,,,,,COSTA RICA,5929,PALERMO,COMUNA 14,"COSTA RICA 5929, CABA",-58.437986,-34.580009,4775 2935,info@galeriaunion.com,https://galeriaunion.com/,,,,@galeriaunion,,,,,,,0,
1803,GALERIA DE ARTE,,GALERIA URSOMARZO,,,,,ARENALES,921,RETIRO,COMUNA 1,"ARENALES 921, CABA",-58.380197,-34.594075,4393-0871,info@galeriaursomarzo.com.ar,WWW.GALERIAURSOMARZO.COM.AR,,,,,,,,,,,0,
1804,GALERIA DE ARTE,,GALERIA VAN EYCK,,,,,AV. SANTA FE,834,RETIRO,COMUNA 1,"SANTA FE AV. 834, CABA",-58.379099,-34.595232,4311-6568 // 43116569 // 43116573,GALERIADEARTE@VANEYCK.COM.AR,WWW.VANEYCK.COM.AR,,,,,,,,,,,0,
1805,GALERIA DE ARTE,,GALERIA VAN RIEL,,,,,JUNCAL,790,RETIRO,COMUNA 1,"JUNCAL 790, CABA",-58.378268,-34.592966,4313-5553,info@vanriel.com.ar,WWW.VANRIEL.COM.AR,,,,@galeriavanriel,MERIDIANO,,,,,,0,
1806,GALERIA DE ARTE,,GALERIA VASARI,,,,,ESMERALDA,1357,RETIRO,COMUNA 1,"ESMERALDA 1357, CABA",-58.378353,-34.592042,4327-0664 / 4328 5237,vasari@galeriavasari.com.ar,WWW.GALERIAVASARI.COM.AR,,https://www.facebook.com/Galeria-Vasari-142376112483703/,,https://www.instagram.com/galeriavasari/,MERIDIANO,,,,,,0,
1807,GALERIA DE ARTE,,GALERIA VIEJO HOTEL,,,,,BALCARCE,1053,SAN TELMO,COMUNA 1,"BALCARCE 1053, CABA",-58.370094,-34.620003,,,-,,-,,,,,,,,,0,
1808,GALERIA DE ARTE,,GALERIA WUSSMANN - CESAR MENEGAZZO,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,570,MONSERRAT,COMUNA 1,"REPUBLICA BOLIVARIANA DE VENEZUELA 570, CABA",-58.374233,-34.613817,4343-4707,arte@wussmann.com,WWW.WUSSMANNBLOG.WORDPRESS.COM,,,@wussmann,,,,,,,,0,
1809,GALERIA DE ARTE,,GALERIA ZURBARAN,,,,,CERRITO,1522,RETIRO,COMUNA 1,"CERRITO 1522, CABA",-58.382597,-34.589743,4815-1556,CMP@ZURBARAN.COM.AR,WWW.ZURBARANGALERIA.COM.AR,,https://www.facebook.com/ZurbaranArteArgentino/,,,,,,,,,0,
1810,GALERIA DE ARTE,,GRANADA GALLERY,,,,,GODOY CRUZ,1644,PALERMO,COMUNA 14,"GODOY CRUZ 1644, CABA",-58.434427,-34.587735,11 3620 17 39,granadagallery@gmail.com,https://www.granadagallery.net/,,https://www.facebook.com/granadagallery2015,@granada_gallery,https://www.instagram.com/granada_gallery/,MERIDIANO,,,,,,0,
1811,GALERIA DE ARTE,,GUEVARA GALLERY. SPECIALIZED IN ART DECO AND ART NOUVEAU,,,,,BALCARCE,1084,SAN TELMO,COMUNA 1,"BALCARCE 1084, CABA",-58.369989,-34.620381,4362-7718 / 4362-2418,info@guevaragallery.com,http://www.guevaragallery.com/,,https://www.facebook.com/Guevara.Antiques/,@GuevaraGallery,@guevaragallery,,,,,,,0,
1812,GALERIA DE ARTE,,HERLIZKA + FARIA,,,,,LIBERTAD,1630,RETIRO,COMUNA 1,"LIBERTAD 1630, CABA",-58.383405,-34.58922,4313 2993,info@herlitzkafaria.com,http://www.henriquefaria-ba.com/es,,,,@herlitzkafaria,MERIDIANO,,,,,,0,
1813,GALERIA DE ARTE,,HILDA SOLANO ARTE Y DISEÑO LATINOAMERICANO,,,,,ALVEAR,1777,RECOLETA,COMUNA 2,"ALVEAR 1777, CABA",-58.387871,-34.588522,4812-2402,hildasolano1777@hotmail.com,,,,,,,,,,,,0,
1814,GALERIA DE ARTE,,HILO GALERIA,,,,,GORRITI,4614,PALERMO,COMUNA 14,"GORRITI 4614, CABA",-58.42717,-34.592047,15-6826-0005,info@hilogaleria.com,https://hilogaleria.com/,,https://www.facebook.com/hilogaleria,,https://www.instagram.com/hilogaleria/,MERIDIANO,,,,,,0,
1815,GALERIA DE ARTE,,HOY EN EL ARTE GALERIA,,,,,JUNCAL,848,RETIRO,COMUNA 1,"JUNCAL 848, CABA",-58.3792,-34.592918,4322-2208,galeriahoyenelarte@gmail.com,WWW.GALERIAHOYENELARTE.COM.AR,,,,,,,,,,,0,
1816,GALERIA DE ARTE,,HUELLAS,,,,,CABRAL. SGTO.,885,RETIRO,COMUNA 1,"CABRAL, SGTO. 885, CABA",-58.379731,-34.594664,4328-7410,INFO@HUELLASARTE.COM.AR,,,,,,,,,,,,0,
1817,GALERIA DE ARTE,,ISLA FLOTANTE,,,,,VIAMONTE,776,SAN NICOLAS,COMUNA 1,"VIAMONTE 776, CABA",-58.377797,-34.600074,,INFO@ISLAFLOTANTE.COM,http://islaflotante.com/,,,,https://www.instagram.com/galeriaislaflotante/,MERIDIANO,,,,,,0,
1818,GALERIA DE ARTE,,LA BOLIVIA DIAZ,,,,,"DIAZ, CESAR, GRAL.",2596,VILLA GRAL. MITRE,COMUNA 11,"DIAZ, CESAR, GRAL. 2596, CABA",-58.475045,-34.612384,,,,,,,,,,,,,,0,
1819,GALERIA DE ARTE,,LILIANA RODRIGUEZ. GALERIA DE ARTE,,,,,BILLINGHURST,750,ALMAGRO,COMUNA 5,"BILLINGHURST 750, CABA",-58.415278,-34.601211,48627929,GALERIALILIANARODRIGUEZ@HOTMAIL.COM,,,https://www.facebook.com/galerialilianarodriguez/,@GALERIA_LR,,,,,,,,0,
1820,GALERIA DE ARTE,,LOS COLECCIONISTAS,,,,,LIBERTAD,978,RETIRO,COMUNA 1,"LIBERTAD 978, CABA",-58.38422,-34.597215,4 816 1752 /0478,INFO@LOSCOLECCIONISTAS.COM,http://loscoleccionistas.com/,,https://www.facebook.com/loscoleccionistas.pinturaargentina/,,,,,,,,,0,
1821,GALERIA DE ARTE,,LUZ VIDAL,,,,,GAVILAN,2695,PATERNAL,COMUNA 15,"GAVILAN 2695, CABA",-58.477377,-34.6009,,,,,,,,,,,,,,0,
1822,GALERIA DE ARTE,,MARIA CALCATERRA,,,,,CASTILLA. RAMON. MARISCAL,2876,PALERMO,COMUNA 14,"CASTILLA, RAMON, MARISCAL 2876, CABA",-58.400586,-34.579963,,,,,,,,,,,,,,0,
1823,GALERIA DE ARTE,,MARTORELL. ART + PEOPLE,,,,,PACHECO DE MELO. JOSE ANDRES,1863,RECOLETA,COMUNA 2,"PACHECO DE MELO, JOSE ANDRES 1863, CABA",-58.393484,-34.592073,15-6761-5092,JORGEMARTORELL@GMAIL.COM,,,https://www.facebook.com/martorell.art.people/,,,,,,,,,0,
1824,GALERIA DE ARTE,,MCMC,,,,,"FIGUEROA ALCORTA, PRES. AV.",3032,PALERMO,COMUNA 14,"FIGUEROA ALCORTA, PRES. AV. 3032, CABA",-58.398712,-34.580531,4804 3597,info@mcmcgaleria.com,http://mcmcgaleria.com,,https://www.facebook.com/mariacalcaterramc,,https://www.instagram.com/mcmcgaleria/,MERIDIANO,,,,,,0,
1825,GALERIA DE ARTE,,MICROTALLER HOGAREÑO,,,,,BALBOA,416,PATERNAL,COMUNA 15,"BALBOA 416, CABA",-58.467098,-34.591499,4361-8252,,,,https://www.facebook.com/galeriabuenosairessur,,https://www.instagram.com/p/B5ePLNXgfVG/,,,,,,,0,
1826,GALERIA DE ARTE,,MIRANDA BOSCH GALLERY,,,,,MONTEVIDEO,1723,RETIRO,COMUNA 1,"MONTEVIDEO 1723, CABA",-58.386675,-34.590585,4815-3515,hola@mirandabosch.com,http://art.mirandabosch.com/,,,,@miranda.bosch.gallery,MERIDIANO,,,,,,0,
1827,GALERIA DE ARTE,,MITRA ARTE,,,,,SANTA FE AV.,1660,RECOLETA,COMUNA 2,"SANTA FE AV. 1660, CABA",-58.390945,-34.595903,154082 - 4862 // 15 5501 - 6167,MIRTACONTEMPORANEO@GMAIL.COM / MARCELACASABURI@GMAIL.COM,https://aacmitra.wixsite.com/,,,,,,,,,,,0,
1828,GALERIA DE ARTE,,MODO ART GALLERY,,,,,CALVO. CARLOS,592,SAN TELMO,COMUNA 1,"CALVO, CARLOS 592, CABA",-58.374044,-34.619687,4300 5676,modoartgallery@gmail.com,http://modoartgallery.blogspot.com/,,https://www.facebook.com/modoartgalleryargentina/,,,,,,,,,0,
1829,GALERIA DE ARTE,,MORIA,,,,,"FIGUEROA, D. APOLINARIO, CORONEL",135,VILLA CRESPO,COMUNA 15,"FIGUEROA, D. APOLINARIO, CORONEL 135, CABA",-58.443834,-34.603079,11 3559153,holamoria@gmail.com,https://moriagaleria.com/,,https://www.facebook.com/moriagaleria,,,MERIDIANO,,,,,,0,
1830,GALERIA DE ARTE,,MOSTO & ROJAS,,,,,UGARTECHE,3050,PALERMO,COMUNA 14,"UGARTECHE 3050, CABA",-58.41215,-34.580797,,,http://www.mostorojasarte.com/,,,,,,,,,,,0,
1831,GALERIA DE ARTE,,MUNAR,,,,,DON PEDRO DE MENDOZA AV.,1535,BOCA,COMUNA 4,"DON PEDRO DE MENDOZA AV. 1535, CABA",-58.356622,-34.637449,,,https://artemunar.com.ar/,,,,https://www.instagram.com/munar_arte/?hl=es-la,,,,,,,0,
1832,GALERIA DE ARTE,,MUNDO NUEVO. GALLERY ART,,,,,CALLAO AV.,1868,RECOLETA,COMUNA 2,"CALLAO AV. 1868, CABA",-58.388529,-34.588599,4804-7321,ARTE@FUNDACIONMUNDONUEVO.ORG.AR,http://www.fundacionmundonuevo.org.ar/,,https://www.facebook.com/mundonuevogalleryart/,,,,,,,,,0,
1833,GALERIA DE ARTE,,NAZLI KALAYCI. ART DEALER,,,,,LAS HERAS GENERAL AV.,2049,RECOLETA,COMUNA 2,"LAS HERAS GENERAL AV. 2049, CABA",-58.394374,-34.58964,4803-2070,info@nkartdealer.com.ar,https://www.nkartdealer.com.ar/,,https://www.facebook.com/NazliKalayciArtDealer/,,@nazlik.artdealer,,,,,,,0,
1834,GALERIA DE ARTE,,NORMA DUEK ART GALLERY,,,,,DEL LIBERTADOR AV.,2280,PALERMO,COMUNA 14,"DEL LIBERTADOR AV. 2280, CABA",-58.404416,-34.580951,3447 4010,norma@duek.com,http://www.normaduek.com/,,,,,,,,,,,0,
1835,GALERIA DE ARTE,,ODA,,,,,PARANA,759,SAN NICOLAS,COMUNA 1,"PARANA 759, CABA",-58.388087,-34.599915,4371-4738,info@odaarte.com,http://odaarte.com/,,https://www.facebook.com/odaarte/?fref=ts,,https://www.instagram.com/odaarte/,MERIDIANO,,,,,,0,
1836,GALERIA DE ARTE,,OPEN ESTUDIOS COSTRA RICA,,,,,COSTA RICA,4684,PALERMO,COMUNA 14,"COSTA RICA 4684, CABA",-58.426947,-34.588276,,paula.nahmod@gmail.com,,,,,,,,,,,,0,
1837,GALERIA DE ARTE,,PABELLON 4 ARTE CONTEMPORANEO,,,,,"RAMIREZ DE VELASCO, JUAN",556,VILLA CRESPO,COMUNA 15,"RAMIREZ DE VELASCO, JUAN 556, CABA",-58.437159,-34.597965,48562118,nestorzonana@gmail.com,http://www.pabellon4.com/,,,,https://www.instagram.com/pabellon4/,MERIDIANO,,,,,,0,
1838,GALERIA DE ARTE,,PALATINA GALERIA DE ARTE,,,,,ARROYO,821,RETIRO,COMUNA 1,"ARROYO 821, CABA",-58.378898,-34.592078,4327-0620,PALATINA@FIBERTEL.COM.AR,http://www.galeriapalatina.com.ar/,,https://www.facebook.com/pages/category/Art-Gallery/Galeria-Palatina-120023278192700/,,@GALERIAPALATINA,,,,,,,0,
1839,GALERIA DE ARTE,,PALERMO H,,,,,HONDURAS,5929,PALERMO,COMUNA 14,"HONDURAS 5929, CABA",-58.439616,-34.581494,4774-5181//4773-0450,galeriadearte@sion.com,http://www.artgallerypalermoh.com.ar/,,https://www.facebook.com/galeria.palermoh,,@galeriadearte_palermoh,,,,,,,0,
1840,GALERIA DE ARTE,,PANAL 361,,,,,JEAN JAURES,361,BALVANERA,COMUNA 3,"JAURES, JEAN 361, CABA",-58.409564,-34.605813,4864-1852,PANAL361@GMAIL.COM,https://www.panal361.com/,,https://www.facebook.com/PANAL361/,,@PANAL361,,,,,,,0,
1841,GALERIA DE ARTE,,PASTO,,,,,PEREYRA LUCENA,2591,PALERMO,COMUNA 14,"PEREYRA LUCENA 2591, CABA",-58.400702,-34.58325,48043060,"hola@pastogaleria.com.ar,",http://www.pastogaleria.com.ar/,,,,https://www.instagram.com/pastogaleria/?hl=es-la,MERIDIANO,,,,,,0,
